No,Lapisan Penghasilan Bruto (Rp),TER,Original Lapisan Penghasilan Bruto (Rp)
1,5.400.000,0.00%,sampai dengan 5.400.000
2,5.650.000,0.25%,5.400.001 s.d. 5.650.000
3,5.950.000,0.50%,5.650.001 s.d. 5.950.000
4,6.300.000,0.75%,5.950.001 s.d. 6.300.000
5,6.750.000,1.00%,6.300.001 s.d. 6.750.000
6,7.500.000,1.25%,6.750.001 s.d. 7.500.000
7,8.550.000,1.50%,7.500.001 s.d. 8.550.000
8,9.650.000,1.75%,8.550.001 s.d. 9.650.000
9,10.050.000,2.00%,9.650.001 s.d. 10.050.000
10,10.350.000,2.25%,10.050.001 s.d. 10.350.000
11,10.700.000,2.50%,10.350.001 s.d. 10.700.000
12,11.050.000,3.00%,10.700.001 s.d. 11.050.000
13,11.600.000,3.50%,11.050.001 s.d. 11.600.000
14,12.500.000,4.00%,11.600.001 s.d. 12.500.000
15,13.750.000,5.00%,12.500.001 s.d. 13.750.000
16,15.100.000,6.00%,13.750.001 s.d. 15.100.000
17,16.950.000,7.00%,15.100.001 s.d. 16.950.000
18,19.750.000,8.00%,16.950.001 s.d. 19.750.000
19,24.150.000,9.00%,19.750.001 s.d. 24.150.000
20,26.450.000,10.00%,24.150.001 s.d. 26.450.000
21,28.000.000,11.00%,26.450.001 s.d. 28.000.000
22,30.050.000,12.00%,28.000.001 s.d. 30.050.000
23,32.400.000,13.00%,30.050.001 s.d. 32.400.000
24,35.400.000,14.00%,32.400.001 s.d. 35.400.000
25,39.100.000,15.00%,35.400.001 s.d. 39.100.000
26,43.850.000,16.00%,39.100.001 s.d. 43.850.000
27,47.800.000,17.00%,43.850.001 s.d. 47.800.000
28,51.400.000,18.00%,47.800.001 s.d. 51.400.000
29,56.300.000,19.00%,51.400.001 s.d. 56.300.000
30,62.200.000,20.00%,56.300.001 s.d. 62.200.000
31,68.600.000,21.00%,62.200.001 s.d. 68.600.000
32,77.500.000,22.00%,68.600.001 s.d. 77.500.000
33,89.000.000,23.00%,77.500.001 s.d. 89.000.000
34,103.000.000,24.00%,89.000.001 s.d. 103.000.000
35,125.000.000,25.00%,103.000.001 s.d. 125.000.000
36,157.000.000,26.00%,125.000.001 s.d. 157.000.000
37,206.000.000,27.00%,157.000.001 s.d. 206.000.000
38,337.000.000,28.00%,206.000.001 s.d. 337.000.000
39,454.000.000,29.00%,337.000.001 s.d. 454.000.000
40,550.000.000,30.00%,454.000.001 s.d. 550.000.000
41,695.000.000,31.00%,550.000.001 s.d. 695.000.000
42,910.000.000,32.00%,695.000.001 s.d. 910.000.000
43,1.400.000.000,33.00%,910.000.001 s.d. 1.400.000.000
44,100.400.000.000,34.00%,lebih 1.400.000.000
