]No,Lapisan Penghasilan Bruto (Rp),TER,Original Lapisan Penghasilan Bruto (Rp)
1,6.200.000,0.00%,sampai dengan 6.200.000
2,6.500.000,0.25%,6.200.001 s.d. 6.500.000
3,6.850.000,0.50%,6.500.001 s.d. 6.850.000
4,7.300.000,0.75%,6.850.001 s.d. 7.300.000
5,9.200.000,1.00%,7.300.001 s.d. 9.200.000
6,10.750.000,1.50%,9.200.001 s.d. 10.750.000
7,11.250.000,2.00%,10.750.001 s.d. 11.250.000
8,11.600.000,2.50%,11.250.001 s.d. 11.600.000
9,12.600.000,3.00%,11.600.001 s.d. 12.600.000
10,13.600.000,4.00%,12.600.001 s.d. 13.600.000
11,14.950.000,5.00%,13.600.001 s.d. 14.950.000
12,16.400.000,6.00%,14.950.001 s.d. 16.400.000
13,18.450.000,7.00%,16.400.001 s.d. 18.450.000
14,21.850.000,8.00%,18.450.001 s.d. 21.850.000
15,26.000.000,9.00%,21.850.001 s.d. 26.000.000
16,27.700.000,10.00%,26.000.001 s.d. 27.700.000
17,29.350.000,11.00%,27.700.001 s.d. 29.350.000
18,31.450.000,12.00%,29.350.001 s.d. 31.450.000
19,33.950.000,13.00%,31.450.001 s.d. 33.950.000
20,37.100.000,14.00%,33.950.001 s.d. 37.100.000
21,41.100.000,15.00%,37.100.001 s.d. 41.100.000
22,45.800.000,16.00%,41.100.001 s.d. 45.800.000
23,49.500.000,17.00%,45.800.001 s.d. 49.500.000
24,53.800.000,18.00%,49.500.001 s.d. 53.800.000
25,58.500.000,19.00%,53.800.001 s.d. 58.500.000
26,64.000.000,20.00%,58.500.001 s.d. 64.000.000
27,71.000.000,21.00%,64.000.001 s.d. 71.000.000
28,80.000.000,22.00%,71.000.001 s.d. 80.000.000
29,93.000.000,23.00%,80.000.001 s.d. 93.000.000
30,109.000.000,24.00%,93.000.001 s.d. 109.000.000
31,129.000.000,25.00%,109.000.001 s.d. 129.000.000
32,163.000.000,26.00%,129.000.001 s.d. 163.000.000
33,211.000.000,27.00%,163.000.001 s.d. 211.000.000
34,374.000.000,28.00%,211.000.001 s.d. 374.000.000
35,459.000.000,29.00%,374.000.001 s.d. 459.000.000
36,555.000.000,30.00%,459.000.001 s.d. 555.000.000
37,704.000.000,31.00%,555.000.001 s.d. 704.000.000
38,957.000.000,32.00%,704.000.001 s.d. 957.000.000
39,1.405.000.000,33.00%,957.000.001 s.d. 1.405.000.000
40,100.405.000.000,34.00%,lebih dari 1.405.000.000
