No,Lapisan Penghasilan Bruto (Rp),TER,Original Lapisan Penghasilan Bruto (Rp)
1,6.600.000,0.00%,sampai dengan 6.600.000
2,6.950.000,0.25%,6.600.001 s.d. 6.950.000
3,7.350.000,0.50%,6.950.001 s.d. 7.350.000
4,7.800.000,0.75%,7.350.001 s.d. 7.800.000
5,8.850.000,1.00%,7.800.001 s.d. 8.850.000
6,9.800.000,1.25%,8.850.001 s.d. 9.800.000
7,10.950.000,1.50%,9.800.001 s.d. 10.950.000
8,11.200.000,1.75%,10.950.001 s.d. 11.200.000
9,12.050.000,2.00%,11.200.001 s.d. 12.050.000
10,12.950.000,3.00%,12.050.001 s.d. 12.950.000
11,14.150.000,4.00%,12.950.001 s.d. 14.150.000
12,15.550.000,5.00%,14.150.001 s.d. 15.550.000
13,17.050.000,6.00%,15.550.001 s.d. 17.050.000
14,19.500.000,7.00%,17.050.001 s.d. 19.500.000
15,22.700.000,8.00%,19.500.001 s.d. 22.700.000
16,26.600.000,9.00%,22.700.001 s.d. 26.600.000
17,28.100.000,10.00%,26.600.001 s.d. 28.100.000
18,30.100.000,11.00%,28.100.001 s.d. 30.100.000
19,32.600.000,12.00%,30.100.001 s.d. 32.600.000
20,35.400.000,13.00%,32.600.001 s.d. 35.400.000
21,38.900.000,14.00%,35.400.001 s.d. 38.900.000
22,43.000.000,15.00%,38.900.001 s.d. 43.000.000
23,47.400.000,16.00%,43.000.001 s.d. 47.400.000
24,51.200.000,17.00%,47.400.001 s.d. 51.200.000
25,55.800.000,18.00%,51.200.001 s.d. 55.800.000
26,60.400.000,19.00%,55.800.001 s.d. 60.400.000
27,66.700.000,20.00%,60.400.001 s.d. 66.700.000
28,74.500.000,21.00%,66.700.001 s.d. 74.500.000
29,83.200.000,22.00%,74.500.001 s.d. 83.200.000
30,95.600.000,23.00%,83.200.001 s.d. 95.600.000
31,110.000.000,24.00%,95.600.001 s.d. 110.000.000
32,134.000.000,25.00%,110.000.001 s.d. 134.000.000
33,169.000.000,26.00%,134.000.001 s.d. 169.000.000
34,221.000.000,27.00%,169.000.001 s.d. 221.000.000
35,390.000.000,28.00%,221.000.001 s.d. 390.000.000
36,463.000.000,29.00%,390.000.001 s.d. 463.000.000
37,561.000.000,30.00%,463.000.001 s.d. 561.000.000
38,709.000.000,31.00%,561.000.001 s.d. 709.000.000
39,965.000.000,32.00%,709.000.001 s.d. 965.000.000
40,1.419.000.000,33.00%,965.000.001 s.d. 1.419.000.000
41,100.419.000.000,34.00%,lebih dari 1.419.000.000
